Predicted_Video_ID,BestAnswer,BestAnswer_start,BestAnswer_end,LongAnswer,LongAnswer_start,LongAnswer_end,Related_Video_IDs
101,let us understand authentication in the cloud. The objectives we set out are we try to understand authentication. Then we move ahead to understand the Keystone attributes,8,24,let us understand authentication in the cloud. The objectives we set out are we try to understand authentication. Then we move ahead to understand the Keystone attributes in terms of authentication. What do we mean by authentication? Authentication is an important topic in cloud computing security. The authentication process serves as a protection mechanism against different sorts of attacks. Where the goal is to confirm the identity of a user whenever a user requests services from cloud servers. What is keystone? Keystone is an open stack service,8,58,
101,identity provider for customers,473,476,the identity provider for customers,473,476,
101,an abstraction used by other open stack services to group and isolate resources such as servers and images,80,93,an abstraction used by other open stack services to group and isolate resources such as servers and images,80,93,
101,identity provider for customers,473,476,acts as the identity provider for customers,470,476,
101,the user or user group has some kind of access to resources in the project,115,126,that the user or user group has some kind of access to resources in the project,115,126,
101,"a collection of users, groups and projects",138,143,"a collection of users, groups and projects",138,143,204 503
101,users and groups in SQL,447,453,the users and groups in SQL,447,453,401
502,chat client that in between there is a chat server,283,289,chat client that in between there is a chat server. So chat line,283,291,101 504
101,collection of users,207,209,Role assignments are granted or revoked and may be inherited between groups and users and domains and projects,264,274,302 502
502,clients and other user clients,297,302,user typing server and in turn this chat server it aggregates typing from all the users sent to the clients and other user clients,289,302,101 503
101,users and groups in SQL,447,453,the users and groups in SQL,447,453,502
101,the entities to which the role is assigned to,218,224,the entities to which the role is assigned to,218,224,302 502
502,peer-to-peer,53,56,peer-to-peer to peer architecture So the distribution model is determined the responsibility for processing data when a request is made. So here the master slave architecture. The role of entities are asymmetric because we have master node. So master node will be having the highest rates when compared to the slave nodes,53,73,101
101,a ternary or triple relationship,256,262,the registry of projects and to articulate who should have access to those projects. Users or groups of users are given access to a project using the concept of role assignments. A role assigned to a user or user group on a project denotes that the user or user group has some kind of access to resources in the project,93,126,502
101,a ternary or triple relationship,256,262,"a ternary or triple relationship. The combination of an actor, a target and a role",256,263,304
101,established that can be used for evaluating other targets,1011,1017,the left hand key and rules refer to the right hand value. Targets are established that can be used for evaluating other targets,1005,1017,304 204
101,actors,218,221,targets.,307,309,502
101,both entities can be referred to as targets,304,309,"Role assignments are granted or revoked and may be inherited between groups and users and domains and projects. What are targets? Projects and domains are similar entities where the role is assigned on. A user or user group is given access to either a project or a domain by assigning a particular role value for that user or user group for a specific project or domain. Since projects and domains have similar characteristics, both entities can be referred to as targets",264,309,204 502
101,access management and authorization,956,961,What is access management and authorization,956,961,501
